Tempo_ms,Movimento,LDR
151589,0,50
151732,0,47
151875,0,48
152017,0,48
152160,0,47
152302,0,47
152445,0,49
152588,0,47
152730,0,49
152872,0,50
153016,0,51
153158,0,52
153300,0,52
153443,0,50
153586,0,49
153729,0,52
153871,0,52
154013,0,55
154157,0,56
154299,0,56
154441,0,57
154584,0,57
154726,0,60
154869,0,58
155012,0,57
155154,0,60
155296,0,59
155440,0,60
155582,0,63
155724,0,65
155867,0,66
156010,0,65
156152,0,65
156295,0,67
156437,1,63
156581,1,59
156726,1,60
156869,1,57
157014,1,58
157158,1,61
157301,1,63
157446,1,68
157590,1,67
157734,1,64
157878,1,54
158022,1,51
158167,1,49
158310,1,51
158454,1,51
158599,1,54
158742,1,47
158886,1,48
159031,0,47
159173,0,48
159315,0,49
159458,0,47
159601,0,50
159744,0,47
159886,0,47
160028,0,49
160172,0,49
160314,0,49
160456,0,48
160599,0,47
160742,0,48
160884,0,49
161027,0,50
161169,0,49
161312,0,49
161455,0,49
161597,0,50
161739,0,52
161883,0,50
162025,0,52
162167,0,52
162310,0,51
162453,0,51
162595,0,52
162738,0,52
162880,0,51
163022,0,52
163166,0,54
163308,0,52
163450,0,51
163593,0,54
163736,0,50
163878,0,50
164021,0,52
164163,0,52
164306,0,51
164449,0,54
164591,0,52
164733,0,53
164877,0,53
165019,0,55
165161,0,57
165304,0,57
165446,0,57
165590,0,58
165732,0,56
165874,0,55
166017,0,53
166160,0,52
166302,1,52
166447,1,51
166590,1,53
166734,1,51
166879,1,54
167022,1,54
167166,1,54
167311,1,57
167454,0,61
167598,0,59
167740,0,60
167882,0,60
168025,0,59
168167,0,59
168310,0,57
168453,0,55
168595,0,56
168737,0,53
168881,0,54
169023,0,52
169165,0,56
169308,0,56
169451,0,58
169593,0,60
169736,0,65
169878,1,67
170022,1,150
170168,1,506
170313,1,519
170460,1,523
170605,1,471
170750,1,489
170896,1,543
171042,1,584
171188,1,610
171333,1,633
171479,1,650
171624,1,654
171770,1,660
171916,1,664
172061,1,669
172207,1,672
172353,1,666
172498,1,655
172644,1,586
172789,1,356
172935,0,159
173079,0,116
173223,0,115
173368,0,118
173511,0,220
173656,0,401
173800,0,546
173944,0,609
174089,0,635
174232,0,647
174376,0,646
174521,0,616
174665,0,492
174809,0,206
174953,0,159
175097,0,166
175242,0,150
175385,0,184
175529,0,416
175674,0,603
175818,0,672
175962,0,694
176106,0,704
176250,0,702
176395,0,676
176539,1,629
176685,1,390
176830,1,84
176974,1,82
177118,1,92
177262,1,99
177406,1,99
177550,1,141
177696,1,413
177842,1,626
177987,1,697
178132,1,720
178278,1,732
178424,1,738
178570,1,745
178715,1,747
178861,1,750
179007,1,751
179152,1,750
179298,1,745
179443,1,651
179589,1,140
179735,1,108
179880,1,595
180026,1,79
180170,1,216
180316,1,517
180461,1,636
180606,1,665
180753,0,590
180896,0,332
181041,0,72
181183,0,183
181327,0,473
181472,0,97
181614,0,81
181756,0,318
181901,0,327
182045,0,104
182190,0,165
182334,0,438
182477,0,159
182622,0,151
182766,0,445
182910,0,223
183054,0,85
183197,0,252
183341,0,415
183485,0,90
183627,0,179
183772,0,543
183916,0,423
184059,1,88
184204,1,430
184349,1,464
184496,1,71
184639,1,202
184785,1,524
184931,1,335
185076,1,150
185222,1,510
185367,0,479
185511,0,87
185654,0,335
185798,0,531
185943,0,206
186087,0,187
186230,0,471
186375,0,427
186519,0,91
186661,0,378
186806,0,511
186950,0,163
187095,0,140
187238,0,474
187382,0,468
187527,0,88
187669,0,197
187813,0,453
187958,0,221
188101,0,135
